ID,Date Collected,locale,plant family,plant species,plant common name,order,family,sub family,lep species,lep name
23580.0,14-Dec-05,huertos,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23584.0,14-Dec-05,huertos,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23587.0,14-Dec-05,huertos,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23588.0,14-Dec-05,huertos,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23615.0,19-Dec-05,str 160,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23651.0,19-Dec-05,str 800,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23654.0,20-Dec-05,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23872.0,21-Dec-05,str 900,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23906.0,29-Dec-05,parcela 12,piperaceae,piper cenocladum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23919.0,10-Jan-06,plot 17,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23936.0,14-Jan-06,plot 20,piperaceae,piper hispidum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23972.0,20-Feb-06,succ plot 5 plot 37,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
24018.0,5-Apr-06,plot 67,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
24091.0,26-Apr-06,huertos,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
24231.0,20-May-06,ces 750,piperaceae,sarcorhachis sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
24244.0,23-May-06,tirimbina,piperaceae,piper cenocladum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
24245.0,23-May-06,tirimbina,piperaceae,piper pseudobumbratum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
24257.0,23-May-06,tirimbina,piperaceae,piper pseudobumbratum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
24302.0,5-Sep-06,succ plot 5,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
