INDIV,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,,50% MAMU,,
UM10,4.23,205,277,1.056,1.033,1.045,,0.01,9.092,11.49%,,,,
UM11,4.36,207,280,1.116,0.985,1.051,,0.0005,1.269,82.78%,,90.8,,
UM11,4.36,207,280,1.116,0.985,1.051,,0.01,10.914,9.63%,,,,
UM12,3.98,196,267,1.036,0.922,0.979,,0.0005,1.139,85.95%,,98.8,,
UM12,3.98,196,267,1.036,0.922,0.979,,0.01,7.585,12.91%,,,,
UM2,4.66,206,274,1.12,1.105,1.113,,0.0005,1.093,101.78%,,113.4,,
UM2,4.66,206,274,1.12,1.105,1.113,,0.01,8.666,12.84%,,,,
UM3,4.39,203,268,1.205,1.037,1.121,,0.0005,1.29,86.90%,,147.4,,
UM3,4.39,203,268,1.205,1.037,1.121,,0.01,2.922,38.36%,,,,
UM4,4.24,204,276,1.269,1.184,1.227,,0.0005,1.448,84.70%,,121,,
UM4,4.24,204,276,1.269,1.184,1.227,,0.01,4.338,28.27%,,,,
UM5,3.46,195,262,1.212,1.255,1.234,,0.0005,1.459,84.54%,,97.1,,
UM5,3.46,195,262,1.212,1.255,1.234,,0.01,9.489,13.00%,,,,
UM6,4.04,200,267,1.039,0.944,0.992,,0.0005,1.273,77.89%,,83.4,,
UM6,4.04,200,267,1.039,0.944,0.992,,0.01,10.473,9.47%,,,,
UM7,4.41,205,271,1.044,0.932,0.988,,0.0005,1.248,79.17%,,84.3,,
UM7,4.41,205,271,1.044,0.932,0.988,,0.01,11.672,8.46%,,,,
UM8,4.44,206,274,1.189,1.186,1.188,,0.0005,1.233,96.31%,,107.6,,
UM8,4.44,206,274,1.189,1.186,1.188,,0.01,11.285,10.52%,,,,
UM9,4.39,205,272,1.068,1.013,1.041,,0.0005,1.259,82.64%,,100,,
UM9,4.39,205,272,1.068,1.013,1.041,,0.01,6.082,17.11%,,,,
,,,,,,,,,,,,,,
