ID,species,locality,county,sex,capture_date,lab_entry_date,SVL(mm)_at_lab_entry,mass(g)_at_lab_entry,mass(g)_14Oct2017,SVL(mm)_16April2018,mass(g)_16April2018,SVL(mm)_before_muscle_exp,mass(g)_before_muscle_exp,food_type,Ivermectin_treatment,Notes,50%MAMU,genotype
EE2017.3,Thamnophis hammondii,Boulder Creek,San Diego,F,,27-Jul-17,,,,53,71,,,mice in water,27-JULY-2017/10-AUG-2017/24-AUG-2017,,,
EE2017.4,Thamnophis hammondii,Boulder Creek,San Diego,M,,27-Jul-17,,,,37,30,,,trout,27-JULY-2017/10-AUG-2017/24-AUG-2017,,,
EJE143,Thamnophis couchii,Prairie Creek,Nevada,F,,1-Aug-16,580,57.8,,58.25,105,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,2.88,
EJE161,Thamnophis couchii,Jackson Meadow Reservoir,Nevada,,,,,13,,,,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,,
EJE162,Thamnophis couchii,Jackson Meadow Reservoir,Nevada,F,,1-Aug-16,420,21.3,,50.5,59,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,2.13,
EJE163,Thamnophis couchii,Jackson Meadow Reservoir,Nevada,M,,1-Aug-16,530,49,,52,67,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,3.7,
EJE164,Thamnophis couchii,Carr Lake,Nevada,M,,1-Aug-16,500,41,,47.25,54,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,3.1,
EJE165,Thamnophis couchii,Canyon Creek,Nevada,F,,1-Aug-16,610,32.6,,60.5,110,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,3.65,
EJE166,Thamnophis couchii,Canyon Creek,Nevada,M,,1-Aug-16,,9.5,,31.5,18,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,10,
EJE169,Thamnophis couchii,Canyon Creek,Nevada,M,,1-Aug-16,,14.8,,40.5,33,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,8.34,
EJE171,Thamnophis couchii,Canyon Creek,Nevada,F,,1-Aug-16,,,,46,55,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,,
EJE174,Thamnophis couchii,Milton Reservoir,Nevada,F,,1-Aug-16,,21.7,,52,61,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,3.21,
EJE177,Thamnophis couchii,Milton Reservoir,Nevada,F,,1-Aug-16,,16.6,,50,45,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,6,
EJE179,Thamnophis couchii,Jackson Meadows Reservoir,Sierra,F,,1-Aug-16,,9.4,,34.5,18,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,25,
EJE181,Thamnophis couchii,S. Fork Tuolumne River,Tuolumne,F,,1-Aug-16,,9.3,,27,10,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,35,
EJE184,Thamnophis couchii,S. Fork Tuolumne River,Tuolumne,F,,1-Aug-16,,,,31,21,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,,
EJE187,Thamnophis couchii,S. Fork Tuolumne River,Tuolumne,F,,1-Aug-16,,,,34.5,21,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,,
EJE188,Thamnophis couchii,S. Fork Tuolumne River,Tuolumne,F,,1-Aug-16,,,,35,21,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,,
EJE218,Thamnophis elegans,Summit Rd,Santa Cruz,M,,8-May-17,360,19,,42.5,47,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,lump; mid-body; left side,,
EJE219,Thamnophis elegans,Little Sulphur Creek,Napa,-,,17-May-17,400,28,,-,-,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,muscle exp March 2018,,
EJE220,Thamnophis elegans,Little Sulphur Creek,Napa,M,,12-May-17,,,,47.5,45,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,,
EJE221,Thamnophis atratus,Little Sulphur Creek,Napa,M,,12-May-17,,,,44.5,45,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,,
EJE229,Thamnophis atratus,Mt. Hamilton,Santa Clara,-,,13-Feb-18,,,,17,4,,,,13-FEB-2018/27-FEB-2018/13-MAR-2018,DIED 2-MAY-2018; neonate - did not eat well,,
GB,Pituophis catenifer,Reno,"Washoe, NV",-,,27-May-17,900,273,,90,237,,,mice,12-JULY-2017/27-JULY-2017/10-AUG-2017,,,
Hague17.01,Thamnophis sirtalis,Hopland,Mendocino,F,,20-Jun-17,470,37,,48.5,41,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,>250,LVNV/LVNV
Hague17.02,Thamnophis sirtalis,Hopland,Mendocino,F,,20-Jun-17,460,32,,45.5,34,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,>250,LVNV/LVNV
Hague17.03,Thamnophis atratus,Hopland,Mendocino,M,,20-Jun-17,,15.3,,36.25,24,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,10.1,
Hague17.04,Thamnophis atratus,Hopland,Mendocino,M,,20-Jun-17,470,31.7,,44.5,54,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,3.49,
Hague17.05,Thamnophis atratus,Hopland,Mendocino,F,,20-Jun-17,550,72.3,,53,116,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,13.5,
Hague17.06,Thamnophis atratus,Hopland,Mendocino,M,,20-Jun-17,500,49.5,,49,67,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,3.86,
JSR001,Thamnophis elegans,Watson Lake,Placer,M,15-Aug-17,16-Aug-17,450,62,,45,37,,,,16-JULY-2017/31-AUG-2017/12-SEPT-2017,,,
JSR002,Thamnophis elegans,Watson Lake,Placer,M,15-Aug-17,16-Aug-17,300,13,10,29,12,,,,16-JULY-2017/31-AUG-2017/12-SEPT-2017,,,
JSR003,Thamnophis sirtalis,Watson Lake,Placer,M,15-Aug-17,16-Aug-17,450,45,,-,-,,,,16-JULY-2017/31-AUG-2017/12-SEPT-2017,DIED 6-APRIL-2018,,
JSR004,Thamnophis sirtalis,Watson Lake,Placer,F,15-Aug-17,16-Aug-17,660,167,,67,122,,,,16-JULY-2017/31-AUG-2017/12-SEPT-2017,,,
JSR005,Thamnophis atratus,Waddell Creek,Santa Cruz,M,,21-Aug-17,,30,,41.5,38,,,trout,21-SEPT-2017/7-OCT-2017/22-OCT-2017,,,
JSR006,Thamnophis atratus,Waddell Creek,Santa Cruz,F,,21-Aug-17,,119,,58.5,108,,,trout,21-SEPT-2017/7-OCT-2017/22-OCT-2017,WATCH; ventral bulge,,
JSR007,Thamnophis couchii,Pinecrest Lake ,Tuolumne ,F,,26-Aug-17,560,63,,55,52,,,,26-SEPT-2017/10-OCT-2017/25-OCT-2017,,,
JSR008,Thamnophis couchii,Pinecrest Lake ,Tuolumne ,M,,29-Sep-17,520,40,,50,32,,,,29-SEPT-2017/14-OCT-2017/31-OCT-2017,,,
JSR009,Thamnophis couchii,Pinecrest Lake ,Tuolumne ,M,,29-Sep-17,314,13,,35,16,,,,29-SEPT-2017/14-OCT-2017/31-OCT-2017,,,
JSR010,Thamnophis atratus,Waddell Creek,Santa Cruz,M,,16-Oct-17,,28,,36.25,28,,,trout,16-OCT-2017/31-OCT-2017/14-NOV-20117,,,
JSR011,Thamnophis elegans,Waddell Creek,Santa Cruz,M,,16-Oct-17,,30,,43,45,,,,16-OCT-2017/31-OCT-201714-NOV-2017,,,
